Index,Prediction
300439992,0
300476572,1
300485215,1
300485214,1
300485217,1
300485218,1
300485219,1
300476877,0
300476782,0
300442524,1
300440416,1
300506326,0
300506327,0
300453942,1
300440414,1
300440353,1
300441373,0
300506328,0
300476783,0
300453759,1
300506332,0
300440351,0
300476876,0
300485220,1
300472489,1
300411227,0
300473063,1
300429267,0
300472545,1
300421162,0
300442311,1
300442295,1
300441540,1
300442293,1
300440052,1
300429164,1
300421502,0
300429162,1
300472975,0
300472976,1
300485559,1
300440687,1
300442253,1
300453390,1
300415426,1
300454114,0
300452269,1
300476970,0
300411723,1
300491574,0
300487840,0
300440566,1
300477223,0
300430233,1
300430231,1
300430229,1
300485221,1
300430227,1
300442047,1
300422128,0
300470653,1
300440217,0
300440028,1
300442045,0
300453388,1
300407582,0
300442352,1
300494899,0
300476559,0
300475290,0
300475289,0
300448976,1
300448974,1
300467958,1
300479247,0
300446105,1
300475203,0
300475200,0
300475133,1
300479346,0
300475132,1
300475130,1
300475129,1
300479182,0
300475128,1
300475127,1
300478472,0
300502734,0
300475112,0
300475111,0
300489331,0
300475131,1
300457884,1
300479353,1
300479354,1
300475396,0
300436143,1
300436141,1
300475395,0
300506799,0
300445392,1
300420249,0
300471187,0
300469711,0
300469709,0
300473776,1
300469706,0
300502177,0
300435942,1
300420090,1
300473854,1
300473858,0
300473859,0
300457890,1
300457888,1
300457886,1
300479356,1
300479355,1
300502942,1
300506774,0
300475061,1
300474136,0
300435042,1
300474804,0
300478805,0
300434961,1
300434954,1
300479000,1
300503261,0
300478999,1
300478984,0
300478884,0
300418734,1
300471697,1
300434794,1
300478885,0
300478886,0
300478887,0
300463161,1
300503871,1
300419174,1
300419188,1
300413913,0
300494898,0
300418968,1
300423825,0
300434415,1
300474407,0
300475026,1
300418430,0
300474222,0
300474229,0
300435262,1
300474977,0
300474976,0
300435260,1
300474974,0
300474973,0
300435258,1
300474313,0
300478620,0
300413589,1
300413591,0
300479059,1
300414304,0
300418591,1
300435210,1
300474891,0
300435208,1
300418665,1
300418668,1
300479072,0
300428119,1
300423394,0
300506773,0
300438860,1
300428370,1
300476106,0
300483611,0
300478084,0
300467748,1
300476103,0
300428380,1
300478095,1
300472271,0
300411015,0
300470960,1
300478114,1
300478115,1
300478116,1
300499821,0
300499825,0
300482900,1
300468054,1
300416859,0
300428383,1
300488468,1
300478097,0
300472309,0
300438957,1
300438959,1
300485187,0
300454456,1
300476484,0
300476474,0
300484870,0
300439076,1
300442912,1
300459487,1
300443086,1
300443093,1
300411099,0
300439063,1
300439061,1
300439059,1
300451652,1
300412283,1
300476210,0
300415249,0
300411064,0
300438988,1
300438985,1
300505813,0
300425500,0
300475496,1
300454965,1
300476019,0
300480789,1
300412813,1
300412815,1
300425000,1
300424997,1
300475573,0
300410465,1
300410462,1
300410459,1
300410456,1
300475641,1
300410453,1
300461887,0
300506772,0
300478374,0
300478375,1
300478377,0
300478378,0
300423257,1
300436558,1
300436556,1
300436554,1
300436926,1
300410616,0
300475654,0
300475655,0
300472235,1
300438286,1
300451072,0
300469971,1
300506658,0
300458889,0
300478252,0
300414993,0
300478264,0
300473500,0
300426728,0
300506659,0
300437883,1
300506660,0
300475806,1
300468832,1
300432595,1
300432597,1
300412762,1
300507894,0
300506661,0
300412776,0
300450554,1
300476020,1
300488540,0
300000000,1
300070646,0
300153438,1
300016501,1
300324802,0
300017349,1
300012765,0
300164539,1
300179561,0
300179571,1
300350252,0
300324849,1
300179575,0
300256774,1
300350234,1
300016505,0
300036755,1
300164546,1
300324979,1
300324983,1
300324991,1
300017343,0
300399567,1
300245626,1
300245630,1
300399582,1
300210398,1
300365104,0
300153230,1
300017339,1
300006826,1
300006823,1
300324975,1
300006818,1
300302427,1
300153530,1
300016469,1
300229637,1
300154004,1
300303862,0
300153996,1
300101227,0
300303817,1
300068336,1
300101223,0
300272283,1
300303527,1
300067230,1
300210412,0
300153850,1
300399408,1
300257348,0
300153849,0
300257343,0
300068325,1
300068321,1
300036741,0
300068317,0
300068296,0
300164118,0
300068268,1
300164216,1
300153730,1
300302694,1
300066067,0
300016497,0
300036737,1
300062292,1
300153216,1
300350001,1
300388140,1
300388137,1
300388134,1
300388131,1
300388128,1
300006616,1
300388125,1
300388122,1
300388119,1
300388116,1
300388113,1
300066245,1
300388110,1
300152853,0
300388143,1
300062302,0
300400003,1
300388107,1
300388104,1
300388101,1
300152802,1
300388098,1
300016521,1
300065547,1
300136713,0
300111596,0
300017335,0
300349485,0
300006539,1
300326062,0
300152848,1
300179844,1
300006644,0
300388146,1
300065543,1
300153212,1
300153208,1
300153157,1
300153119,0
300301696,1
300301630,1
300301626,1
300025217,1
300399731,1
300164948,0
300067242,1
300234464,1
300073781,1
300152989,1
300388173,0
300059860,1
300179840,1
300179831,1
300388149,1
300152893,1
300388152,1
300152918,1
300017353,0
300388155,1
300179722,1
300388161,1
300006672,0
300388164,1
300388167,1
300388170,1
300388158,1
300271960,1
300223259,1
300098719,0
300020308,0
300007642,0
300162649,0
300007621,0
300065513,0
300007617,1
300007609,1
300007605,1
300007601,1
300187632,1
300112067,0
300162858,0
300162862,0
300178780,0
300398169,1
300162866,0
300162874,0
300007597,1
300162878,0
300259043,1
300112057,0
300162882,0
300007593,0
300073607,0
300073611,1
300013962,1
300178854,0
300013955,1
300067206,1
300023016,0
300162870,0
300216705,0
300007686,0
300015656,1
300216641,1
